cooking_type,standard_method
boil,boiled
boiled,boiled
fried,fried
fry,fried
smooked,smooked
cooked,cooked
baked,baked
creamed,creamed
deviled,deviled
canned,canned
roasted,roasted
scalloped,scalloped
grilled,grilled
grill,grilled
bake,baked
roast,roasted
broil,broasted
